"Latitude (decimal degrees):	51.790",,,,,Effiency,0.18,,,Date,EPV (kW),G_i (kW/m)
20080509:0356,0,0,0,12.1,2.14,0,,,,,
20080509:0456,0,0,0,12.19,2.06,0,,,,,
20080509:0556,0.1,6.46,12.65,12.29,1.99,0,,,,,
20080509:0656,39.4,149.6,21.85,12.39,1.92,0,,,,,
20080509:0756,70.62,254.06,31.07,13.79,1.95,0,,,,,
20080509:0856,91.5,326.16,39.85,15.18,1.99,0,,,,,
20080509:0956,175.32,624.04,47.55,16.58,2.03,0,,,,,
20080509:1056,177.4,632.78,53.18,17.47,2.53,0,,,,,
20080509:1156,192.74,689.63,55.55,18.36,3.03,0,,,,,
20080509:1256,130.05,464.69,53.96,19.25,3.53,0,,,,,
20080509:1356,170.66,607.85,48.88,19.27,3.48,0,,,,,
20080509:1456,104.3,374.35,41.51,19.29,3.42,0,,,,,
20080509:1556,113.05,405.09,32.89,19.3,3.37,0,,,,,
20080509:1656,65.76,247.81,23.72,19.05,2.69,0,,,,,
20080509:1756,0.27,7.77,14.48,18.79,2,0,,,,,
20080509:1856,0,0,0,18.53,1.32,0,,,,,
20080509:1956,0,0,0,17.11,1.87,0,,,,,
20080509:2056,0,0,0,15.68,2.41,0,,,,,
20080509:2156,0,0,0,14.26,2.95,0,,,,,
20080509:2256,0,0,0,13.74,2.92,0,,,,,
20080509:2356,0,0,0,13.23,2.89,0,,,,,
20080510:0056,0,0,0,12.71,2.86,0,,,,,
20080510:0156,0,0,0,12.22,2.79,0,,,,,
20080510:0256,0,0,0,11.72,2.72,0,,,,,
20080510:0356,0,0,0,11.23,2.65,0,,,,,
20080510:0456,0,0,0,11.64,2.18,0,,,,,
20080510:0556,5.9,33.21,12.86,12.06,1.72,0,,,,,
20080510:0656,17.72,76.14,22.06,12.47,1.26,0,,,,,
20080510:0756,67.09,243.52,31.28,14.38,1.33,0,,,,,
20080510:0856,170.91,609.32,40.07,16.29,1.41,0,,,,,
20080510:0956,210.54,767.37,47.78,18.2,1.49,0,,,,,
20080510:1056,120.81,437.83,53.44,19.09,1.43,0,,,,,
20080510:1156,129.59,471.95,55.82,19.97,1.38,0,,,,,
20080510:1256,128.26,469.2,54.21,20.86,1.32,0,,,,,
20080510:1356,187.2,692.88,49.11,21.12,1.05,0,,,,,
20080510:1456,153.41,564.53,41.72,21.37,0.78,0,,,,,
20080510:1556,67.73,255.09,33.09,21.62,0.51,0,,,,,
20080510:1656,53.49,206.27,23.91,21.15,0.8,0,,,,,
20080510:1756,27.83,122.67,14.68,20.68,1.09,0,,,,,
20080510:1856,0,0,0,20.2,1.38,0,,,,,
20080510:1956,0,0,0,18.41,1.83,0,,,,,
20080510:2056,0,0,0,16.61,2.27,0,,,,,
20080510:2156,0,0,0,14.82,2.72,0,,,,,
20080510:2256,0,0,0,14.29,2.63,0,,,,,
20080510:2356,0,0,0,13.75,2.54,0,,,,,
20080511:0056,0,0,0,13.22,2.46,0,,,,,
20080511:0156,0,0,0,12.74,2.44,0,,,,,
20080511:0256,0,0,0,12.26,2.43,0,,,,,
20080511:0356,0,0,0,11.78,2.41,0,,,,,
20080511:0456,0,0,0,12.24,2.61,0,,,,,
20080511:0556,29.81,143.62,13.06,12.69,2.8,0,,,,,
20080511:0656,93.75,342.57,22.26,13.14,2.99,0,,,,,
20080511:0756,159.54,559.41,31.49,15.47,2.99,0,,,,,
20080511:0856,211.04,750.59,40.29,17.8,2.99,0,,,,,
20080511:0956,247.1,901.23,48.01,20.14,2.99,0,,,,,
20080511:1056,268.75,991.31,53.69,21.3,3.38,0,,,,,
20080511:1156,275.97,1022.91,56.08,22.47,3.77,0,,,,,
20080511:1256,267.27,988.28,54.46,23.63,4.15,0,,,,,
20080511:1356,179.81,651.93,49.34,23.68,4.27,0,,,,,
20080511:1456,159.56,576.24,41.93,23.73,4.39,0,,,,,
20080511:1556,109.72,400.17,33.28,23.78,4.51,0,,,,,
20080511:1656,67.85,258.57,24.1,22.91,4.08,0,,,,,
20080511:1756,27.25,117.45,14.87,22.03,3.66,0,,,,,
20080511:1856,0,0,0,21.16,3.23,0,,,,,
20080511:1956,0,0,0,19.5,3.13,0,,,,,
20080511:2056,0,0,0,17.85,3.03,0,,,,,
20080511:2156,0,0,0,16.2,2.94,0,,,,,
20080511:2256,0,0,0,15.23,2.79,0,,,,,
20080511:2356,0,0,0,14.25,2.64,0,,,,,
20080512:0056,0,0,0,13.28,2.5,0,,,,,
20080512:0156,0,0,0,12.39,2.48,0,,,,,
20080512:0256,0,0,0,11.5,2.47,0,,,,,
20080512:0356,0,0,0,10.6,2.46,0,,,,,
20080512:0456,0,0,0,10.82,3.03,0,,,,,
20080512:0556,26.23,108.64,13.26,11.04,3.6,0,,,,,
20080512:0656,98.18,353.33,22.46,11.26,4.17,0,,,,,
20080512:0756,162.79,560.98,31.69,13.49,4.23,0,,,,,
20080512:0856,215.88,751.73,40.5,15.72,4.29,0,,,,,
20080512:0956,253.51,901.99,48.24,17.96,4.34,0,,,,,
20080512:1056,275.01,992.09,53.93,19.4,4.57,0,,,,,
20080512:1156,281.42,1023.62,56.33,20.84,4.8,0,,,,,
20080512:1256,271.52,989.08,54.7,22.28,5.02,0,,,,,
20080512:1356,245.32,883.82,49.56,22.39,5.29,0,,,,,
20080512:1456,157.72,563.09,42.14,22.49,5.56,0,,,,,
20080512:1556,104.53,378.32,33.48,22.59,5.83,0,,,,,
20080512:1656,60.31,228.45,24.29,21.74,5.63,0,,,,,
20080512:1756,27.72,118.15,15.06,20.89,5.43,0,,,,,
20080512:1856,1.12,12.84,6.16,20.05,5.23,0,,,,,
20080512:1956,0,0,0,18.41,5.15,0,,,,,
20080512:2056,0,0,0,16.77,5.07,0,,,,,
20080512:2156,0,0,0,15.14,4.99,0,,,,,
20080512:2256,0,0,0,14.18,5.03,0,,,,,
20080512:2356,0,0,0,13.21,5.08,0,,,,,
20080513:0056,0,0,0,12.25,5.12,0,,,,,
20080513:0156,0,0,0,11.38,5.26,0,,,,,
20080513:0256,0,0,0,10.51,5.4,0,,,,,
20080513:0356,0,0,0,9.65,5.54,0,,,,,
20080513:0456,0,0,0,9.76,5.83,0,,,,,
20080513:0556,31.91,149.32,13.46,9.87,6.12,0,,,,,
20080513:0656,98.37,349.63,22.65,9.98,6.41,0,,,,,
20080513:0756,165.03,557.95,31.88,11.64,6.45,0,,,,,
20080513:0856,187.9,638.09,40.7,13.3,6.49,0,,,,,
20080513:0956,252.93,871.79,48.46,14.96,6.52,0,,,,,
20080513:1056,281.54,983.11,54.17,16.29,6.66,0,,,,,
20080513:1156,285.61,1005.26,56.58,17.62,6.8,0,,,,,
20080513:1256,255.12,898.12,54.94,18.95,6.94,0,,,,,
20080513:1356,220.71,771.29,49.78,19.17,7.02,0,,,,,
20080513:1456,184.16,642.12,42.34,19.39,7.1,0,,,,,
20080513:1556,137.29,483.21,33.67,19.6,7.19,0,,,,,
20080513:1656,90.11,337.2,24.48,18.78,6.91,0,,,,,
20080513:1756,28.21,142.48,15.25,17.96,6.64,0,,,,,
20080513:1856,1.51,14.74,6.35,17.15,6.37,0,,,,,
20080513:1956,0,0,0,15.63,5.97,0,,,,,
20080513:2056,0,0,0,14.11,5.57,0,,,,,
20080513:2156,0,0,0,12.6,5.17,0,,,,,
20080513:2256,0,0,0,11.79,5.08,0,,,,,
20080513:2356,0,0,0,10.99,4.99,0,,,,,
20080514:0056,0,0,0,10.18,4.9,0,,,,,
20080514:0156,0,0,0,9.63,5,0,,,,,
20080514:0256,0,0,0,9.07,5.11,0,,,,,
20080514:0356,0,0,0,8.52,5.21,0,,,,,
20080514:0456,0.11,6.44,4.87,8.79,5.52,1,,,,,
20080514:0556,20.03,92.45,13.65,9.06,5.83,1,,,,,
20080514:0656,57.75,210.16,22.84,9.33,6.14,1,,,,,
20080514:0756,96.02,328.5,32.07,10.99,6.18,1,,,,,
20080514:0856,121.13,411.31,40.9,12.65,6.22,1,,,,,
20080514:0956,111.31,383.16,48.67,14.31,6.26,1,,,,,
20080514:1056,137.35,472.38,54.4,15.76,6.38,1,,,,,
20080514:1156,121.5,421.44,56.82,17.2,6.49,1,,,,,
20080514:1256,94.66,335.84,55.18,18.65,6.61,1,,,,,
20080514:1356,89.61,319.4,50,18.53,6.68,1,,,,,
20080514:1456,95.3,337.2,42.53,18.41,6.74,1,,,,,
20080514:1556,59.35,217.91,33.85,18.28,6.81,1,,,,,
20080514:1656,49.16,186.84,24.66,17.5,6.67,1,,,,,
20080514:1756,22.49,102.92,15.43,16.71,6.52,1,,,,,
20080514:1856,6.6,36.39,6.54,15.93,6.37,1,,,,,
20080514:1956,0,0,0,14.45,5.89,0,,,,,
20080514:2056,0,0,0,12.98,5.42,0,,,,,
20080514:2156,0,0,0,11.51,4.94,0,,,,,
20080514:2256,0,0,0,10.66,4.94,0,,,,,
20080514:2356,0,0,0,9.81,4.95,0,,,,,
20080515:0056,0,0,0,8.96,4.95,0,,,,,
20080515:0156,0,0,0,8.69,4.92,0,,,,,
20080515:0256,0,0,0,8.41,4.9,0,,,,,
20080515:0356,0,0,0,8.14,4.87,0,,,,,
20080515:0456,0.12,6.54,5.06,8.14,4.96,1,,,,,
20080515:0556,19.08,86.39,13.83,8.15,5.05,1,,,,,
20080515:0656,50.74,185.58,23.02,8.16,5.14,1,,,,,
20080515:0756,93.06,317.52,32.25,9.1,5.12,1,,,,,
20080515:0856,112.8,382.28,41.09,10.03,5.1,1,,,,,
20080515:0956,104.86,359.21,48.88,10.97,5.08,1,,,,,
20080515:1056,125.15,427.79,54.63,11.98,5.01,1,,,,,
20080515:1156,132.42,452.84,57.06,12.98,4.94,1,,,,,
20080515:1256,111.07,385.25,55.41,13.99,4.87,1,,,,,
20080515:1356,94.21,329.86,50.21,14.11,4.65,1,,,,,
20080515:1456,94.25,329.61,42.73,14.22,4.44,1,,,,,
20080515:1556,66.15,237.41,34.04,14.33,4.22,1,,,,,
20080515:1656,46.13,174.37,24.84,14.23,4.17,1,,,,,
20080515:1756,19.9,90.34,15.62,14.13,4.13,1,,,,,
20080515:1856,5.43,31.56,6.73,14.02,4.08,1,,,,,
20080515:1956,0,0,0,13.22,3.98,0,,,,,
20080515:2056,0,0,0,12.41,3.88,0,,,,,
20080515:2156,0,0,0,11.61,3.78,0,,,,,
20080515:2256,0,0,0,11.08,3.65,0,,,,,
20080515:2356,0,0,0,10.55,3.52,0,,,,,
20080516:0056,0,0,0,10.02,3.39,0,,,,,
20080516:0156,0,0,0,9.41,3.44,0,,,,,
20080516:0256,0,0,0,8.8,3.49,0,,,,,
20080516:0356,0,0,0,8.19,3.53,0,,,,,
20080516:0456,0.41,8.43,5.24,8.18,3.58,1,,,,,
20080516:0556,19.34,85.44,14.01,8.17,3.62,1,,,,,
20080516:0656,48.22,177.18,23.19,8.15,3.67,1,,,,,
20080516:0756,93.71,320.6,32.43,8.79,3.63,1,,,,,
20080516:0856,114.1,387.41,41.27,9.42,3.59,1,,,,,
20080516:0956,115.91,395.84,49.08,10.06,3.54,1,,,,,
20080516:1056,151.89,518.44,54.85,10.74,3.57,1,,,,,
20080516:1156,155.32,529.76,57.29,11.43,3.59,1,,,,,
20080516:1256,114.81,396.43,55.63,12.11,3.61,1,,,,,
20080516:1356,99.92,347.33,50.42,12.59,3.32,1,,,,,
20080516:1456,100.14,349.18,42.92,13.06,3.03,1,,,,,
20080516:1556,68.34,244.96,34.22,13.53,2.74,1,,,,,
20080516:1656,45.73,172.34,25.02,13.34,2.94,1,,,,,
20080516:1756,21.04,93.03,15.8,13.14,3.14,1,,,,,
20080516:1856,5.33,31.03,6.92,12.94,3.34,1,,,,,
20080516:1956,0,0,0,12.22,3.4,0,,,,,
20080516:2056,0,0,0,11.49,3.47,0,,,,,
20080516:2156,0,0,0,10.76,3.53,0,,,,,
20080516:2256,0,0,0,10.31,3.52,0,,,,,
20080516:2356,0,0,0,9.87,3.5,0,,,,,
20080517:0056,0,0,0,9.42,3.49,0,,,,,
20080517:0156,0,0,0,9.23,3.5,0,,,,,
20080517:0256,0,0,0,9.03,3.51,0,,,,,
20080517:0356,0,0,0,8.84,3.52,0,,,,,
20080517:0456,2.29,17.96,5.42,8.74,3.59,1,,,,,
20080517:0556,22.5,100.31,14.18,8.65,3.66,1,,,,,
20080517:0656,47.52,174.37,23.36,8.55,3.74,1,,,,,
20080517:0756,103.33,351.8,32.6,8.88,3.89,1,,,,,
20080517:0856,134.66,453.21,41.45,9.21,4.03,1,,,,,
20080517:0956,126.71,429.32,49.28,9.55,4.18,1,,,,,
20080517:1056,155.41,526.01,55.06,9.82,4.45,1,,,,,
20080517:1156,140.25,473.94,57.52,10.1,4.72,1,,,,,
20080517:1256,117.79,401.25,55.85,10.37,4.99,1,,,,,
20080517:1356,92.62,319.03,50.62,11.11,5.11,1,,,,,
20080517:1456,96.47,332.51,43.11,11.85,5.22,1,,,,,
20080517:1556,72.02,254.58,34.4,12.59,5.34,1,,,,,
20080517:1656,50.83,188.23,25.2,12.13,5.42,1,,,,,
20080517:1756,21.58,95.41,15.98,11.67,5.49,1,,,,,
20080517:1856,6.02,33.55,7.11,11.2,5.57,1,,,,,
20080517:1956,0,0,0,10.57,5.52,0,,,,,
20080517:2056,0,0,0,9.94,5.46,0,,,,,
20080517:2156,0,0,0,9.31,5.41,0,,,,,
20080517:2256,0,0,0,9.01,5.56,0,,,,,
20080517:2356,0,0,0,8.7,5.71,0,,,,,
20080518:0056,0,0,0,8.4,5.86,0,,,,,
20080518:0156,0,0,0,7.96,5.51,0,,,,,
20080518:0256,0,0,0,7.52,5.15,0,,,,,
20080518:0356,0,0,0,7.09,4.8,0,,,,,
20080518:0456,4.71,27.95,5.6,7.17,5.09,1,,,,,
20080518:0556,25.75,113.77,14.35,7.26,5.37,1,,,,,
20080518:0656,59.36,212.05,23.52,7.34,5.66,1,,,,,
20080518:0756,111.31,374.37,32.76,8.35,5.79,1,,,,,
20080518:0856,142.55,474.73,41.63,9.36,5.93,1,,,,,
20080518:0956,137.7,464.25,49.46,10.37,6.07,1,,,,,
20080518:1056,161.57,546.35,55.27,11.33,5.97,1,,,,,
20080518:1156,142.03,482.11,57.74,12.3,5.87,1,,,,,
20080518:1256,119.65,412.07,56.07,13.26,5.77,1,,,,,
20080518:1356,112.67,386.96,50.82,13.37,5.5,1,,,,,
20080518:1456,117.34,403.34,43.29,13.48,5.23,1,,,,,
20080518:1556,78.26,276.08,34.57,13.59,4.97,1,,,,,
20080518:1656,55.05,203.56,25.37,13.07,5.14,1,,,,,
20080518:1756,23.12,101.63,16.15,12.55,5.31,1,,,,,
20080518:1856,7.12,37.86,7.29,12.03,5.49,1,,,,,
20080518:1956,0,0,0,10.66,4.89,0,,,,,
20080518:2056,0,0,0,9.28,4.29,0,,,,,
20080518:2156,0,0,0,7.9,3.68,0,,,,,
20080518:2256,0,0,0,7.05,3.2,0,,,,,
20080518:2356,0,0,0,6.2,2.71,0,,,,,
20080519:0056,0,0,0,5.35,2.22,0,,,,,
20080519:0156,0,0,0,4.67,2.23,0,,,,,
20080519:0256,0,0,0,3.98,2.23,0,,,,,
20080519:0356,0,0,0,3.3,2.23,0,,,,,
20080519:0456,6.16,33.17,5.76,3.85,2.94,1,,,,,
20080519:0556,26.92,118.59,14.51,4.4,3.64,1,,,,,
20080519:0656,68.32,240.44,23.68,4.95,4.34,1,,,,,
20080519:0756,117.48,392.37,32.92,6.48,4.72,1,,,,,
20080519:0856,153.1,508.27,41.79,8.01,5.09,1,,,,,
20080519:0956,141.05,474.33,49.65,9.55,5.46,1,,,,,
20080519:1056,132.32,450.5,55.48,10.39,5.43,0,,,,,
20080519:1156,142.55,486.62,57.96,11.23,5.41,0,,,,,
20080519:1256,110.13,380.43,56.28,12.07,5.38,0,,,,,
20080519:1356,141.53,485.3,51.02,12.27,5.06,0,,,,,
20080519:1456,114.36,394.89,43.47,12.47,4.74,0,,,,,
20080519:1556,51.32,187.94,34.75,12.66,4.43,0,,,,,
20080519:1656,31.57,122.59,25.54,12.28,4.44,0,,,,,
20080519:1756,24.36,98.93,16.32,11.9,4.46,0,,,,,
20080519:1856,5.82,32.79,7.47,11.52,4.47,0,,,,,
20080519:1956,0,0,0,10.67,4.11,0,,,,,
20080519:2056,0,0,0,9.81,3.76,0,,,,,
20080519:2156,0,0,0,8.95,3.41,0,,,,,
20080519:2256,0,0,0,8.26,3.17,0,,,,,
20080519:2356,0,0,0,7.57,2.94,0,,,,,
20080520:0056,0,0,0,6.88,2.7,0,,,,,
20080520:0156,0,0,0,5.83,2.54,0,,,,,
20080520:0256,0,0,0,4.78,2.37,0,,,,,
20080520:0356,0,0,0,3.73,2.21,0,,,,,
20080520:0456,6.51,34.54,5.93,4.27,2.78,0,,,,,
20080520:0556,38.58,173.51,14.66,4.8,3.35,0,,,,,
20080520:0656,107.8,374.99,23.83,5.33,3.92,0,,,,,
20080520:0756,174.05,582.47,33.08,6.97,3.93,0,,,,,
20080520:0856,135.9,459.53,41.96,8.6,3.94,0,,,,,
20080520:0956,88.52,307.58,49.83,10.24,3.94,0,,,,,
20080520:1056,132.47,455.26,55.67,11.17,3.93,0,,,,,
20080520:1156,129.89,448.79,58.17,12.11,3.92,0,,,,,
20080520:1256,109.62,382.25,56.49,13.04,3.9,0,,,,,
20080520:1356,72.19,257.83,51.21,13.39,3.85,0,,,,,
20080520:1456,75.02,267.54,43.65,13.74,3.79,0,,,,,
20080520:1556,78.83,280.48,34.92,14.08,3.74,0,,,,,
20080520:1656,41.49,156.58,25.71,13.75,3.88,0,,,,,
20080520:1756,28.08,113.06,16.49,13.42,4.02,0,,,,,
20080520:1856,7.06,37.81,7.64,13.1,4.17,0,,,,,
20080520:1956,0,0,0,12.24,4.08,0,,,,,
20080520:2056,0,0,0,11.38,3.99,0,,,,,
20080520:2156,0,0,0,10.53,3.9,0,,,,,
20080520:2256,0,0,0,9.89,3.71,0,,,,,
20080520:2356,0,0,0,9.24,3.52,0,,,,,
20080521:0056,0,0,0,8.6,3.32,0,,,,,
20080521:0156,0,0,0,7.54,3.02,0,,,,,
20080521:0256,0,0,0,6.47,2.71,0,,,,,
20080521:0356,0,0,0,5.41,2.4,0,,,,,
20080521:0456,0,0,0,5.9,3.04,0,,,,,
20080521:0556,34.77,138.7,14.81,6.4,3.69,0,,,,,
20080521:0656,77.62,271.15,23.98,6.89,4.33,0,,,,,
20080521:0756,172.07,578.84,33.22,8.87,4.53,0,,,,,
20080521:0856,151.54,514.52,42.11,10.85,4.74,0,,,,,
20080521:0956,265.06,916.66,50,12.83,4.94,0,,,,,
20080521:1056,143.03,494.44,55.86,13.71,4.92,0,,,,,
20080521:1156,105.25,369.04,58.37,14.59,4.91,0,,,,,
20080521:1256,180.81,629.53,56.69,15.47,4.9,0,,,,,
20080521:1356,196.71,686.85,51.4,16.01,4.63,0,,,,,
20080521:1456,143.51,502.17,43.83,16.55,4.35,0,,,,,
20080521:1556,80.68,290.25,35.08,17.09,4.08,0,,,,,
20080521:1656,66.17,243.41,25.87,16.61,3.86,0,,,,,
20080521:1756,34.97,143.25,16.66,16.13,3.64,0,,,,,
20080521:1856,7.93,41.51,7.81,15.65,3.42,0,,,,,
20080521:1956,0,0,0,14.39,3.55,0,,,,,
20080521:2056,0,0,0,13.12,3.69,0,,,,,
20080521:2156,0,0,0,11.85,3.82,0,,,,,
20080521:2256,0,0,0,11.23,3.77,0,,,,,
20080521:2356,0,0,0,10.6,3.71,0,,,,,
20080522:0056,0,0,0,9.98,3.66,0,,,,,
20080522:0156,0,0,0,9.2,3.31,0,,,,,
20080522:0256,0,0,0,8.41,2.97,0,,,,,
20080522:0356,0,0,0,7.62,2.63,0,,,,,
20080522:0456,3.08,21.37,6.23,8.26,3.15,0,,,,,
20080522:0556,10.56,50.01,14.96,8.9,3.66,0,,,,,
20080522:0656,103.94,368.22,24.12,9.53,4.18,0,,,,,
20080522:0756,167.39,570.74,33.36,11.33,4.11,0,,,,,
20080522:0856,147.2,506.86,42.26,13.13,4.04,0,,,,,
20080522:0956,177.54,618.09,50.16,14.93,3.97,0,,,,,
20080522:1056,98.53,348.98,56.05,15.77,4.21,0,,,,,
20080522:1156,127.59,449.29,58.57,16.61,4.45,0,,,,,
20080522:1256,178.06,626.43,56.89,17.45,4.69,0,,,,,
20080522:1356,182.12,640,51.58,17.55,4.56,0,,,,,
20080522:1456,72.45,263.1,44,17.64,4.42,0,,,,,
20080522:1556,78.95,285.06,35.24,17.73,4.29,0,,,,,
20080522:1656,54.49,203.52,26.03,17.23,3.66,0,,,,,
20080522:1756,9.75,48.56,16.82,16.72,3.02,0,,,,,
20080522:1856,7.98,41.84,7.98,16.22,2.39,0,,,,,
20080522:1956,0,0,0,14.84,2.47,0,,,,,
20080522:2056,0,0,0,13.46,2.56,0,,,,,
20080522:2156,0,0,0,12.09,2.65,0,,,,,
20080522:2256,0,0,0,11.81,2.67,0,,,,,
20080522:2356,0,0,0,11.54,2.69,0,,,,,
20080523:0056,0,0,0,11.26,2.7,0,,,,,
20080523:0156,0,0,0,11.27,2.47,0,,,,,
20080523:0256,0,0,0,11.27,2.24,0,,,,,
20080523:0356,0,0,0,11.27,2.01,0,,,,,
20080523:0456,24.23,97.89,6.38,11.5,2.56,0,,,,,
20080523:0556,26.38,107.2,15.09,11.72,3.1,0,,,,,
20080523:0656,53.02,194,24.25,11.94,3.64,0,,,,,
20080523:0756,37.94,144.41,33.5,13.33,3.76,0,,,,,
20080523:0856,47.65,177.57,42.4,14.71,3.87,0,,,,,
20080523:0956,92.46,328.96,50.32,16.1,3.99,0,,,,,
20080523:1056,134.32,471.83,56.23,16.2,4.13,0,,,,,
20080523:1156,103.39,366.31,58.77,16.3,4.27,0,,,,,
20080523:1256,147.93,518.74,57.08,16.4,4.41,0,,,,,
20080523:1356,99.95,354.53,51.76,16.56,4.44,0,,,,,
20080523:1456,60.85,223.17,44.16,16.72,4.46,0,,,,,
20080523:1556,74.02,267.29,35.4,16.87,4.48,0,,,,,
20080523:1656,51.24,191.62,26.19,16.72,4.5,0,,,,,
20080523:1756,35.23,159.17,16.98,16.57,4.51,0,,,,,
20080523:1856,8.56,44.02,8.14,16.42,4.52,0,,,,,
20080523:1956,0,0,0,15.45,4.6,0,,,,,
20080523:2056,0,0,0,14.48,4.68,0,,,,,
20080523:2156,0,0,0,13.51,4.76,0,,,,,
20080523:2256,0,0,0,13.04,4.82,0,,,,,
20080523:2356,0,0,0,12.57,4.89,0,,,,,
20080524:0056,0,0,0,12.1,4.95,0,,,,,
20080524:0156,0,0,0,11.68,5.13,0,,,,,
20080524:0256,0,0,0,11.25,5.31,0,,,,,
20080524:0356,0,0,0,10.82,5.49,0,,,,,
20080524:0456,4.38,27.01,6.52,11.03,5.85,0,,,,,
20080524:0556,16.75,72.26,15.23,11.24,6.22,0,,,,,
20080524:0656,79.91,283.6,24.38,11.45,6.58,0,,,,,
20080524:0756,130.67,445.78,33.63,12.83,7.05,0,,,,,
20080524:0856,181.3,616.04,42.54,14.21,7.53,0,,,,,
20080524:0956,226.14,774.51,50.47,15.59,8,0,,,,,
20080524:1056,258.47,891.62,56.4,16.28,8.38,0,,,,,
20080524:1156,201.25,694.36,58.95,16.96,8.76,0,,,,,
20080524:1256,222.66,769.37,57.27,17.65,9.14,0,,,,,
20080524:1356,122.75,428.35,51.93,17.64,9.45,0,,,,,
20080524:1456,121.2,422.09,44.33,17.63,9.76,0,,,,,
20080524:1556,131.12,454.91,35.56,17.61,10.07,0,,,,,
20080524:1656,80.03,290.32,26.34,16.99,9.87,0,,,,,
20080524:1756,31.55,127.1,17.14,16.37,9.67,0,,,,,
20080524:1856,9.08,45.82,8.31,15.76,9.48,0,,,,,
20080524:1956,0,0,0,14.81,9.52,0,,,,,
20080524:2056,0,0,0,13.87,9.56,0,,,,,
20080524:2156,0,0,0,12.93,9.6,0,,,,,
20080524:2256,0,0,0,12.53,9.41,0,,,,,
20080524:2356,0,0,0,12.14,9.22,0,,,,,
20080525:0056,0,0,0,11.74,9.03,0,,,,,
20080525:0156,0,0,0,11.36,8.74,0,,,,,
20080525:0256,0,0,0,10.98,8.45,0,,,,,
20080525:0356,0,0,0,10.6,8.15,0,,,,,
20080525:0456,1.28,13.27,6.65,10.67,8.04,0,,,,,
20080525:0556,0.38,8.3,15.35,10.74,7.92,0,,,,,
20080525:0656,15.3,67.01,24.5,10.8,7.81,0,,,,,
20080525:0756,5.13,30.01,33.75,11.14,7.49,0,,,,,
20080525:0856,10.81,51.37,42.67,11.48,7.16,0,,,,,
20080525:0956,38.08,143.49,50.62,11.82,6.84,0,,,,,
20080525:1056,27.32,108.09,56.56,11.93,6.72,0,,,,,
20080525:1156,48.19,176.7,59.13,12.03,6.59,0,,,,,
20080525:1256,72.57,256.35,57.45,12.14,6.47,0,,,,,
20080525:1356,32.42,125.62,52.1,13.05,6.01,0,,,,,
20080525:1456,55.2,201.48,44.48,13.95,5.56,0,,,,,
20080525:1556,33.6,130.62,35.71,14.85,5.1,0,,,,,
20080525:1656,37.65,143.93,26.49,14.47,5.42,0,,,,,
20080525:1756,0.63,9.91,17.29,14.08,5.74,0,,,,,
20080525:1856,2.99,21.42,8.46,13.69,6.06,0,,,,,
20080525:1956,0,0.24,0.36,12.9,6.34,0,,,,,
20080525:2056,0,0,0,12.11,6.63,0,,,,,
20080525:2156,0,0,0,11.32,6.92,0,,,,,
20080525:2256,0,0,0,11.1,7.12,0,,,,,
20080525:2356,0,0,0,10.87,7.32,0,,,,,
20080526:0056,0,0,0,10.65,7.52,0,,,,,
20080526:0156,0,0,0,10.46,8.09,0,,,,,
20080526:0256,0,0,0,10.27,8.67,0,,,,,
20080526:0356,0,0,0,10.09,9.24,0,,,,,
20080526:0456,0,3.13,6.78,10.04,9.86,0,,,,,
20080526:0556,0.41,8.45,15.47,9.99,10.47,0,,,,,
20080526:0656,7.16,37.68,24.62,9.94,11.09,0,,,,,
20080526:0756,6.6,35.59,33.87,10.13,11.35,0,,,,,
20080526:0856,6.06,33.55,42.8,10.32,11.6,0,,,,,
20080526:0956,36.09,135.86,50.75,10.52,11.86,0,,,,,
20080526:1056,185.13,609.54,56.72,10.64,11.39,1,,,,,
20080526:1156,177.15,586.14,59.31,10.75,10.92,1,,,,,
20080526:1256,178.14,591.3,57.62,10.87,10.46,1,,,,,
20080526:1356,174.11,576.81,52.27,10.87,10.17,1,,,,,
20080526:1456,19.31,80.7,44.64,10.87,9.88,0,,,,,
20080526:1556,27.91,109.4,35.86,10.86,9.59,0,,,,,
20080526:1656,26.49,104.69,26.64,10.75,9.18,0,,,,,
20080526:1756,20.12,83.49,17.44,10.64,8.77,0,,,,,
20080526:1856,9.19,45.3,8.62,10.53,8.36,0,,,,,
20080526:1956,0,0.28,0.52,10.41,8.08,0,,,,,
20080526:2056,0,0,0,10.28,7.81,0,,,,,
20080526:2156,0,0,0,10.16,7.53,0,,,,,
20080526:2256,0,0,0,10.09,7.56,0,,,,,
20080526:2356,0,0,0,10.03,7.59,0,,,,,
20080527:0056,0,0,0,9.96,7.61,0,,,,,
20080527:0156,0,0,0,9.5,7.14,0,,,,,
20080527:0256,0,0,0,9.04,6.66,0,,,,,
20080527:0356,0,0,0,8.59,6.18,0,,,,,
20080527:0456,7.24,37.9,6.9,8.97,5.16,0,,,,,
20080527:0556,7.57,39.19,15.59,9.35,4.15,0,,,,,
20080527:0656,50.36,185.53,24.73,9.73,3.13,1,,,,,
20080527:0756,91.05,315.46,33.98,10.77,3.01,1,,,,,
20080527:0856,112.45,386.12,42.91,11.81,2.89,1,,,,,
20080527:0956,91.21,321.43,50.89,12.86,2.77,0,,,,,
20080527:1056,67.43,243.77,56.88,14.36,2.79,0,,,,,
