"Latitude (decimal degrees):	51.790",,,,,Effiency,0.18,,,Date,EPV (kW),G_i (kW/m)
20070103:2356,0,0,0,9.4,10.79,0,,,20070104:0956,0.036362,0.12976
20070104:0056,0,0,0,9.2,10.34,0,,,20070104:1056,0.046686,0.162498
20070104:0156,0,0,0,8.81,10.11,0,,,20070104:1156,0.046493,0.162385
20070104:0256,0,0,0,8.41,9.88,0,,,20070104:1256,0.038622,0.138712
20070104:0356,0,0,0,8.01,9.64,0,,,20070104:1356,0.028594,0.105695
20070104:0456,0,0,0,7.65,9.28,0,,,20070104:1456,0.020231,0.080319
20070104:0556,0,0,0,7.28,8.92,0,,,20070104:1556,0.00143,0.011658
20070104:0656,0,0,0,6.92,8.57,0,,,20070104:1656,0,0
20070104:0756,0,0,0,6.87,8.49,0,,,20070104:1756,0,0
20070104:0856,9.82,48.21,4.24,6.83,8.41,0,,,20070104:1856,0,0
20070104:0956,28.31,108.95,9.89,6.78,8.33,0,,,20070104:1956,0,0
20070104:1056,11.32,52.3,13.72,7.21,8.55,0,,,20070104:2056,0,0
20070104:1156,35.02,130.53,15.42,7.64,8.76,0,,,20070104:2156,0,0
20070104:1256,16.61,70.73,14.81,8.07,8.98,0,,,20070104:2256,0,0
20070104:1356,96.95,328.26,11.97,8.27,8.7,0,,,20070104:2356,0,0
20070104:1456,20.26,84.37,7.13,8.47,8.42,0,,,20070105:0056,0,0
20070104:1556,0,0.34,0.68,8.67,8.14,0,,,20070105:0156,0,0
20070104:1656,0,0,0,8.15,7.69,0,,,20070105:0256,0,0
20070104:1756,0,0,0,7.64,7.24,0,,,20070105:0356,0,0
20070104:1856,0,0,0,7.12,6.79,0,,,20070105:0456,0,0
20070104:1956,0,0,0,6.9,6.32,0,,,20070105:0556,0,0
20070104:2056,0,0,0,6.68,5.85,0,,,20070105:0656,0,0
20070104:2156,0,0,0,6.46,5.38,0,,,20070105:0756,0,0
20070104:2256,0,0,0,6.39,5.03,0,,,20070105:0856,0.012721,0.056146
20070104:2356,0,0,0,6.33,4.69,0,,,20070105:0956,0.031269,0.115679
20070105:0056,0,0,0,6.26,4.34,0,,,20070105:1056,0.048524,0.169779
20070105:0156,0,0,0,6.52,4.65,0,,,20070105:1156,0.04914,0.171607
20070105:0256,0,0,0,6.78,4.96,0,,,20070105:1256,0.031645,0.116503
20070105:0356,0,0,0,7.03,5.27,0,,,20070105:1356,0.03089,0.114874
20070105:0456,0,0,0,7.12,5.42,0,,,20070105:1456,0.024254,0.09405
20070105:0556,0,0,0,7.2,5.57,0,,,20070105:1556,0.001826,0.013068
20070105:0656,0,0,0,7.29,5.72,0,,,20070105:1656,0,0
20070105:0756,0,0,0,7.45,5.96,0,,,20070105:1756,0,0
20070105:0856,2.67,19.57,4.29,7.62,6.2,0,,,20070105:1856,0,0
20070105:0956,9.99,47.71,9.96,7.78,6.44,0,,,20070105:1956,0,0
20070105:1056,9.14,44.82,13.81,8.57,6.8,0,,,20070105:2056,0,0
20070105:1156,16.34,70.21,15.52,9.35,7.16,0,,,20070105:2156,0,0
20070105:1256,13.26,59.77,14.93,10.14,7.52,0,,,20070105:2256,0,0
20070105:1356,13.34,60.07,12.1,10.25,7.31,0,,,20070105:2356,0,0
20070105:1456,7.71,39.85,7.27,10.36,7.1,0,,,20070106:0056,0,0
20070105:1556,1.49,14.32,0.83,10.46,6.9,0,,,20070106:0156,0,0
20070105:1656,0,0,0,9.86,6.44,0,,,20070106:0256,0,0
20070105:1756,0,0,0,9.25,5.98,0,,,20070106:0356,0,0
20070105:1856,0,0,0,8.65,5.52,0,,,20070106:0456,0,0
20070105:1956,0,0,0,7.96,5.22,0,,,20070106:0556,0,0
20070105:2056,0,0,0,7.27,4.93,0,,,20070106:0656,0,0
20070105:2156,0,0,0,6.59,4.63,0,,,20070106:0756,0,0
20070105:2256,0,0,0,6.28,4.57,0,,,20070106:0856,0.019923,0.080289
20070105:2356,0,0,0,5.97,4.5,0,,,20070106:0956,0.037378,0.132655
20070106:0056,0,0,0,5.66,4.43,0,,,20070106:1056,0.062183,0.210197
20070106:0156,0,0,0,5.24,4.16,0,,,20070106:1156,0.052132,0.179287
20070106:0256,0,0,0,4.82,3.89,0,,,20070106:1256,0.057494,0.19802
20070106:0356,0,0,0,4.4,3.61,0,,,20070106:1356,0.047882,0.168978
20070106:0456,0,0,0,4.55,3.57,0,,,20070106:1456,0.035196,0.129661
20070106:0556,0,0,0,4.69,3.52,0,,,20070106:1556,0.00125,0.010856
20070106:0656,0,0,0,4.84,3.48,0,,,20070106:1656,0,0
20070106:0756,0,0,0,4.97,3.32,0,,,20070106:1756,0,0
20070106:0856,0.32,7.77,4.34,5.1,3.16,0,,,20070106:1856,0,0
20070106:0956,3.83,24.28,10.03,5.23,3.01,0,,,20070106:1956,0,0
20070106:1056,0.27,7.48,13.9,5.71,2.67,0,,,20070106:2056,0,0
20070106:1156,0.48,8.79,15.63,6.18,2.34,0,,,20070106:2156,0,0
20070106:1256,2.09,16.95,15.06,6.66,2,0,,,20070106:2256,0,0
20070106:1356,12.06,54.93,12.24,6.79,2.3,0,,,20070106:2356,0,0
20070106:1456,1.87,15.93,7.42,6.93,2.6,0,,,20070107:0056,0,0
20070106:1556,0.02,5.78,0.98,7.06,2.9,0,,,20070107:0156,0,0
20070106:1656,0,0,0,6.78,3.49,0,,,20070107:0256,0,0
20070106:1756,0,0,0,6.51,4.08,0,,,20070107:0356,0,0
20070106:1856,0,0,0,6.23,4.68,0,,,20070107:0456,0,0
20070106:1956,0,0,0,5.72,4.66,0,,,20070107:0556,0,0
20070106:2056,0,0,0,5.22,4.64,0,,,20070107:0656,0,0
20070106:2156,0,0,0,4.72,4.62,0,,,20070107:0756,0,0
20070106:2256,0,0,0,5.07,5.09,0,,,20070107:0856,0.014852,0.063663
20070106:2356,0,0,0,5.43,5.57,0,,,20070107:0956,0.034893,0.12688
20070107:0056,0,0,0,5.79,6.04,0,,,20070107:1056,0.053146,0.182605
20070107:0156,0,0,0,6.21,6.65,0,,,20070107:1156,0.0725,0.244603
20070107:0256,0,0,0,6.62,7.26,0,,,20070107:1256,0.047019,0.163865
20070107:0356,0,0,0,7.03,7.86,0,,,20070107:1356,0.041049,0.144835
20070107:0456,0,0,0,7.29,8.24,0,,,20070107:1456,0.029746,0.112449
20070107:0556,0,0,0,7.54,8.63,0,,,20070107:1556,0.001753,0.013415
20070107:0656,0,0,0,7.8,9.01,0,,,20070107:1656,0,0
20070107:0756,0,0,0,7.96,8.83,0,,,20070107:1756,0,0
20070107:0856,11.41,53.97,4.41,8.12,8.65,0,,,20070107:1856,0,0
20070107:0956,61.58,216.24,10.11,8.28,8.47,0,,,20070107:1956,0,0
20070107:1056,63.21,220,14,8.62,8.66,0,,,20070107:2056,0,0
20070107:1156,43.67,158.69,15.75,8.96,8.85,0,,,20070107:2156,0,0
20070107:1256,24.05,95.89,15.19,9.3,9.03,0,,,20070107:2256,0,0
20070107:1356,17.73,74.81,12.38,9.22,9.27,0,,,20070107:2356,0,0
20070107:1456,24.78,99.41,7.57,9.14,9.51,0,,,20070108:0056,0,0
20070107:1556,3.65,23.84,1.13,9.06,9.75,0,,,20070108:0156,0,0
20070107:1656,0,0,0,8.87,9.66,0,,,20070108:0256,0,0
20070107:1756,0,0,0,8.69,9.58,0,,,20070108:0356,0,0
20070107:1856,0,0,0,8.5,9.49,0,,,20070108:0456,0,0
20070107:1956,0,0,0,8.43,9.84,0,,,20070108:0556,0,0
20070107:2056,0,0,0,8.36,10.19,0,,,20070108:0656,0,0
20070107:2156,0,0,0,8.3,10.54,0,,,20070108:0756,0,0
20070107:2256,0,0,0,8.65,10.25,0,,,20070108:0856,0.012851,0.056966
20070107:2356,0,0,0,9.01,9.96,0,,,20070108:0956,0.031914,0.11606
20070108:0056,0,0,0,9.37,9.67,0,,,20070108:1056,0.044006,0.15571
20070108:0156,0,0,0,8.77,9.03,0,,,20070108:1156,0.048388,0.170295
20070108:0256,0,0,0,8.17,8.38,0,,,20070108:1256,0.044744,0.159041
20070108:0356,0,0,0,7.56,7.74,0,,,20070108:1356,0.028749,0.107141
20070108:0456,0,0,0,6.77,6.96,0,,,20070108:1456,0.022085,0.088355
20070108:0556,0,0,0,5.98,6.17,0,,,20070108:1556,0.001463,0.011814
20070108:0656,0,0,0,5.19,5.39,0,,,20070108:1656,0,0
20070108:0756,0,0,0,5.11,5.21,0,,,20070108:1756,0,0
20070108:0856,0,4.03,4.48,5.03,5.03,0,,,20070108:1856,0,0
20070108:0956,2.34,17.97,10.2,4.95,4.84,0,,,20070108:1956,0,0
20070108:1056,0.29,7.62,14.11,5.73,5.61,0,,,20070108:2056,0,0
20070108:1156,0.51,8.98,15.88,6.51,6.39,0,,,20070108:2156,0,0
20070108:1256,2.17,17.33,15.33,7.29,7.16,0,,,20070108:2256,0,0
20070108:1356,0.12,6.51,12.53,8.17,7.78,0,,,20070108:2356,0,0
20070108:1456,0.4,8.4,7.73,9.05,8.4,0,,,20070109:0056,0,0
20070108:1556,0,3.11,1.29,9.92,9.02,0,,,20070109:0156,0,0
20070108:1656,0,0,0,10.42,9.23,0,,,20070109:0256,0,0
20070108:1756,0,0,0,10.91,9.44,0,,,20070109:0356,0,0
20070108:1856,0,0,0,11.41,9.66,0,,,20070109:0456,0,0
20070108:1956,0,0,0,11.31,9.51,0,,,20070109:0556,0,0
20070108:2056,0,0,0,11.21,9.36,0,,,20070109:0656,0,0
20070108:2156,0,0,0,11.11,9.21,0,,,20070109:0756,0,0
20070108:2256,0,0,0,11.07,9.53,0,,,20070109:0856,0.018112,0.074622
20070108:2356,0,0,0,11.04,9.84,0,,,20070109:0956,0.048817,0.169648
